title,totalScore,reviewsCount,keywordScore,adjectiveScore,combinedScore,DatingScore,Rank
CHELI FLUSHING 浙里,0.8095238095238106,0.110507824976046,6,7,0.24000000000000002,0.4289618713023381,90.0
Mao Mao,0.7142857142857135,0.05365697860108592,19,3,0.42,0.4278113792946112,91.0
Lusardi's,0.8095238095238102,0.04487384222293197,10,6,0.3,0.42727167647640374,92.0
Estela,0.7619047619047619,0.20536569786010858,8,3,0.2,0.42637161411993735,93.0
Sfoglia,0.714285714285714,0.04854679016288726,5,17,0.42,0.42627832276315175,94.0
Chez Fifi,1.0,0.0,0,5,0.08,0.42400000000000004,95.0
Mythos Authentic Greek Cuisine,0.7619047619047619,0.07649313318428617,6,11,0.32,0.42370984471719064,96.0
Casa Cruz,0.5238095238095237,0.04966464388374321,11,23,0.66,0.42242320268893246,97.0
LongHorn Steakhouse,0.6190476190476182,0.5595656339827532,2,0,0.02,0.42148873781387325,98.0
Tuome,0.7619047619047619,0.10300223570744171,6,9,0.27999999999999997,0.4196625754741373,99.0
TBar,0.7142857142857131,0.05509421909932929,9,11,0.38,0.416242551444084,100.0
Orsay,0.666666666666667,0.1282337911210476,5,14,0.36,0.41313680400298103,101.0
Asian Jewels,0.6190476190476191,0.43149153625039927,6,1,0.12000000000000001,0.4130665084941674,102.0
QUATORZE,0.6666666666666665,0.02746726285531779,13,11,0.45999999999999996,0.41290684552326196,103.0
Botte UES,0.7142857142857135,0.042159054615138934,13,7,0.38,0.4123620020988271,104.0
Seppe Pizza Bar,0.7619047619047619,0.0769722133503673,11,4,0.27999999999999997,0.41185356876701495,105.0
La Goulue New York,0.7142857142857131,0.06036410092622165,7,12,0.36,0.4118235159921517,106.0
Phil-Am Kusina,0.8571428571428572,0.049824337272436924,9,1,0.18000000000000002,0.411804444038874,107.0
Indika House,0.8095238095238098,0.05158096454806771,8,5,0.24000000000000002,0.41128381317394425,108.0
Felice 83,0.666666666666667,0.09326093899712552,13,7,0.38,0.4086449483658044,109.0
Perrine,0.6190476190476191,0.03433407856914724,8,18,0.5,0.40791927118979177,110.0
Il Poeta,0.7619047619047619,0.08383902906419674,6,8,0.26,0.40791361348116384,111.0
Cacio e Pepe,0.7619047619047619,0.024752475247524754,9,7,0.3,0.4021876473361622,112.0
Korali Estiatorio,0.7619047619047619,0.07585435962951134,6,7,0.24000000000000002,0.3995182126507582,113.0
Sushi Noz,0.8095238095238106,0.061162567869690196,2,8,0.18000000000000002,0.3961582941704313,114.0
Spring Thai Fusion & Bar,0.7619047619047619,0.03992334717342702,6,8,0.26,0.39473890891393293,115.0
Piccolo Sogno,0.8095238095238106,0.06962631747045672,6,3,0.16,0.3926974190506613,116.0
Philippe Chow,0.6666666666666665,0.19690194825934207,5,7,0.22,0.3917372511444692,117.0
Il Posto,0.7619047619047619,0.04694985627595018,7,6,0.24000000000000002,0.39084686164468985,118.0
Pata Cafe,0.8095238095238098,0.022197381028425424,8,3,0.2,0.39046873811805155,119.0
Maya,0.666666666666667,0.2272436921111466,6,4,0.18000000000000002,0.38883977430001077,120.0
Il Mulino New York - Uptown,0.6666666666666665,0.07138294474608751,3,14,0.32,0.38408155009049283,121.0
Sant Ambroeus Madison,0.714285714285714,0.12503992334717343,3,8,0.2,0.3832262627184376,122.0
Falafel Crunch,0.952380952380953,0.005429575215586075,1,0,0.0,0.382581253517057,123.0
Falansai,0.7619047619047619,0.07777068029383584,5,5,0.18000000000000002,0.38209310885005554,124.0
Hummus Kitchen,0.666666666666667,0.132385819227084,4,9,0.24000000000000002,0.378382412434792,125.0
Bohemian Spirit,0.7619047619047619,0.09262216544235069,3,5,0.14,0.37454855439461,126.0
Kakurega Sushi,0.7142857142857131,0.01564995209198339,7,8,0.27999999999999997,0.3744092713418803,127.0
Daniel Boulud Kitchen,0.9047619047619047,0.0007984669434685403,1,2,0.039999999999999994,0.37414430198780246,128.0
Altesi,0.6190476190476191,0.03880549345257107,5,15,0.38,0.37326069565481895,129.0
Sushi Sasabune,0.714285714285714,0.026509102523155543,8,6,0.26,0.3716670164712323,130.0
Jiang Nan Flushing,0.7142857142857131,0.1264771638454168,3,6,0.16,0.3716574348679103,131.0
Fiore Di Mare,0.7619047619047619,0.038645800063877356,3,7,0.18000000000000002,0.37035564478106797,132.0
Heidelberg Restaurant,0.7142857142857135,0.2350686681571383,3,0,0.039999999999999994,0.3682348861614269,133.0
H & L Bagels,0.8095238095238098,0.04279782816991377,6,0,0.09999999999999999,0.366648872260498,134.0
Sojourn,0.6666666666666665,0.0870328968380709,10,3,0.24000000000000002,0.3647765357180879,135.0
大喜川菜馆 DAXI Sichuan cuisine,0.714285714285714,0.15091025231555413,5,1,0.09999999999999999,0.36098736140895177,136.0
Elia,0.714285714285714,0.028265729798786332,3,9,0.22,0.3601940046539215,137.0
David Burke Tavern,0.6666666666666665,0.09150431172149473,2,10,0.22,0.36011796018311504,138.0
Kappo Masa,0.6190476190476186,0.03177898435004791,4,14,0.33999999999999997,0.3591527429240618,139.0
Gordo's Cantina,0.7619047619047619,0.09501756627275632,4,1,0.08,0.3572671746437317,140.0
Persepolis,0.6190476190476186,0.11114659853082083,4,9,0.24000000000000002,0.3529630271782937,141.0
Nawabari (Korean & Japanese cuisine),0.7619047619047619,0.016927499201533056,4,4,0.14,0.35184015452236467,142.0
Daesung korean Noodle,0.714285714285714,0.13925263494091344,4,1,0.08,0.35149007619655964,143.0
Pig Heaven,0.666666666666667,0.09869051421271159,7,3,0.18000000000000002,0.35027382093048026,144.0
Fresco's Pizzeria,0.7619047619047619,0.0691472373043756,5,0,0.08,0.3495060759532175,145.0
Momo Sushi Shack,0.714285714285714,0.07154263813478122,6,2,0.14,0.34917707715471996,146.0
Yefsi Estiatorio,0.7619047619047619,0.06451612903225806,1,4,0.08,0.3481167434715822,147.0
Bread N Wine,0.7619047619047619,0.041679974449057806,4,2,0.09999999999999999,0.3472658970966221,148.0
Lilli and Loo,0.6190476190476186,0.12008942829766849,8,3,0.2,0.343645876108348,149.0
El Gauchito 2,0.714285714285714,0.15138933248163527,3,0,0.039999999999999994,0.3431310854587762,150.0
Mediterraneo,0.666666666666667,0.0948578728840626,7,2,0.16,0.34312402853188556,151.0
Marakand,0.7619047619047619,0.06659214308527626,2,2,0.06,0.3427395476874877,152.0
Marky's Caviar (Madison Ave.),0.7619047619047619,0.008942829766847652,5,1,0.09999999999999999,0.33744475369195903,153.0
Amaranth Restaurant,0.5238095238095237,0.04247844139252635,10,8,0.33999999999999997,0.3242673419415674,154.0
Vestry,0.5238095238095237,0.05062280421590546,2,15,0.32,0.32071065078858113,155.0
Alley 41,0.666666666666667,0.0672309166400511,4,2,0.09999999999999999,0.31683594165868206,156.0
Pembroke Room,0.7142857142857149,0.0030341743851804532,1,5,0.09999999999999999,0.3166245380298401,157.0
Moti Mahal Delux,0.6190476190476191,0.12072820185244332,4,2,0.09999999999999999,0.31383750817478057,158.0
Cheburechnaya,0.6666666666666674,0.1360587671670393,0,2,0.02,0.3134842968167788,159.0
Eighteen,0.666666666666667,0.04663046949856276,3,3,0.09999999999999999,0.31065580751623556,160.0
Blue Sea Taverna,0.6190476190476186,0.06770999680613222,4,4,0.14,0.3099320466608871,161.0
"Ocean Prime, Bar and Restaurant",0.7142857142857144,0.006866815713829447,1,3,0.06,0.3057743304284346,162.0
Sushi of Gari UES,0.6190476190476186,0.0434366017246886,3,5,0.14,0.30265002813645403,163.0
Wa Jeal Chili House,0.666666666666667,0.04136058767167039,1,2,0.039999999999999994,0.2910748429681679,164.0
Taco Place,0.5714285714285716,0.020600447141488343,10,0,0.18000000000000002,0.28875156271387514,165.0
Le Charlot,0.5714285714285716,0.051900351325455125,1,6,0.12000000000000001,0.28014153396906516,166.0
Hanyang Chicken Flushing (한양치킨),0.666666666666667,0.01165761737464069,2,0,0.02,0.276163951879059,167.0
Tasty & Co,0.5238095238095237,0.01996167358671351,8,3,0.2,0.2755123115998236,168.0
Summer,0.6190476190476186,0.022357074417119132,2,2,0.06,0.27232616994418324,169.0
Dowling's at The Carlyle,0.3809523809523805,0.008463749600766528,2,18,0.38,0.26892007726118217,170.0
Main Street Imperial Taiwanese,0.5238095238095237,0.06403704886617693,5,1,0.09999999999999999,0.25873492418366256,171.0
Number One Kitchen,0.6190476190476186,0.009262216544235069,0,1,0.0,0.25039771258231797,172.0
Congee Village Flushing,0.42857142857142927,0.16640051101884382,3,1,0.06,0.23934872473422483,173.0
The Mark Restaurant by Jean-Georges,0.23809523809523747,0.04247844139252635,10,12,0.42,0.2339816276558529,174.0
New Mulan,0.4285714285714288,0.11929096135419993,0,4,0.06,0.2252158598348315,175.0
Arirang,0.42857142857142927,0.05892686042797828,5,1,0.09999999999999999,0.2191066295569652,176.0
Shimiaodao Noodle,0.42857142857142905,0.039124880229958484,2,1,0.039999999999999994,0.19516603549755918,177.0
MJ USA 東旺飯店,0.23809523809523792,0.02746726285531779,1,1,0.02,0.10947827409469052,178.0
E.A.T.,0.0,0.16815713829447462,1,1,0.02,0.05644714148834239,179.0
